# Model: wabs(mekal+mekal/b) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1E0657_56              5356+3184+5361   0.00   0.21  6.53  0.00  0.00 11.98 10.66 13.72  0.34  0.18  0.49   4.00e-04   3.88e-04   4.11e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.023   98.5   1.06    306
1E0657_56              5356+3184+5361   0.21   0.30  6.53  0.00  0.00 12.99 11.32 15.20  0.23  0.05  0.41   3.76e-04   3.54e-04   3.86e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   98.2   1.00    281
1E0657_56              5356+3184+5361   0.30   0.38  6.53  0.00  0.00 10.76  9.65 12.13  0.38  0.23  0.53   3.70e-04   3.52e-04   3.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   98.0   0.84    287
1E0657_56              5356+3184+5361   0.38   0.45  6.53  0.00  0.00 12.81 11.34 14.67  0.45  0.28  0.62   4.14e-04   3.93e-04   4.24e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.023   97.9   0.88    325
1E0657_56              5356+3184+5361   0.45   0.51  6.53  0.00  0.00 11.12  9.87 12.72  0.34  0.18  0.50   3.45e-04   3.37e-04   3.65e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   97.7   1.06    270
1E0657_56              5356+3184+5361   0.51   0.57  6.53  0.00  0.00 11.65 10.44 13.19  0.36  0.21  0.51   4.12e-04   3.92e-04   4.22e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.024   97.5   1.03    318
1E0657_56              5356+3184+5361   0.57   0.63  6.53  0.00  0.00 11.86 10.50 13.59  0.26  0.11  0.42   3.70e-04   3.43e-04   3.72e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   97.3   1.01    285
1E0657_56              5356+3184+5361   0.63   0.69  6.53  0.00  0.00 13.23 11.62 15.45  0.34  0.16  0.52   3.81e-04   3.66e-04   3.97e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   97.3   1.01    290
1E0657_56              5356+3184+5361   0.69   0.75  6.53  0.00  0.00 11.55 10.34 13.01  0.29  0.14  0.44   3.85e-04   3.60e-04   3.89e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.022   96.9   1.02    293
1E0657_56              5356+3184+5361   0.75   0.80  6.53  0.00  0.00 12.59 11.07 14.62  0.30  0.13  0.47   3.87e-04   3.61e-04   3.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.022   96.7   1.01    306
1E0657_56              5356+3184+5361   0.80   0.85  6.53  0.00  0.00 10.96  9.75 12.60  0.19  0.04  0.34   3.51e-04   3.32e-04   3.60e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   96.7   0.98    262
1E0657_56              5356+3184+5361   0.85   0.91  6.53  0.00  0.00 12.39 10.97 14.24  0.20  0.04  0.35   4.12e-04   3.87e-04   4.19e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.023   96.6   0.97    319
1E0657_56              5356+3184+5361   0.91   0.97  6.53  0.00  0.00 10.84  9.71 12.23  0.37  0.22  0.52   4.06e-04   3.81e-04   4.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.023   96.3   1.04    318
1E0657_56              5356+3184+5361   0.97   1.02  6.53  0.00  0.00 15.99 13.66 19.03  0.14  0.00  0.34   3.75e-04   3.54e-04   3.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   96.4   1.01    285
1E0657_56              5356+3184+5361   1.02   1.07  6.53  0.00  0.00 11.64 10.36 13.26  0.31  0.15  0.46   3.78e-04   3.53e-04   3.82e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   96.2   0.86    298
1E0657_56              5356+3184+5361   1.07   1.12  6.53  0.00  0.00 12.10 11.33 13.98  0.14  0.00  0.29   3.93e-04   3.61e-04   3.90e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   96.1   0.92    290
1E0657_56              5356+3184+5361   1.12   1.16  6.53  0.00  0.00 10.54  9.43 11.92  0.25  0.10  0.39   3.78e-04   3.56e-04   3.79e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   95.9   0.89    290
1E0657_56              5356+3184+5361   1.16   1.21  6.53  0.00  0.00 10.59  9.51 11.94  0.33  0.18  0.47   3.77e-04   3.33e-04   3.59e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.022   95.8   0.98    292
1E0657_56              5356+3184+5361   1.21   1.26  6.53  0.00  0.00  9.97  8.96 11.19  0.35  0.21  0.49   3.76e-04   3.29e-04   3.55e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.022   95.5   1.04    291
1E0657_56              5356+3184+5361   1.26   1.31  6.53  0.00  0.00  9.61  8.61 10.90  0.31  0.17  0.44   3.69e-04   3.18e-04   3.44e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   95.4   1.03    282
1E0657_56              5356+3184+5361   1.31   1.37  6.53  0.00  0.00  9.12  8.33 10.04  0.35  0.23  0.47   4.16e-04   3.59e-04   3.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.024   95.0   1.04    332
1E0657_56              5356+3184+5361   1.37   1.42  6.53  0.00  0.00  9.24  8.38 10.30  0.46  0.32  0.62   3.36e-04   2.90e-04   3.14e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   94.9   1.14    267
1E0657_56              5356+3184+5361   1.42   1.48  6.53  0.00  0.00 10.86  9.72 12.30  0.37  0.21  0.52   3.94e-04   3.37e-04   3.64e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.022   93.8   1.03    315
1E0657_56              5356+3184+5361   1.48   1.56  6.53  0.00  0.00 11.53 10.25 13.25  0.46  0.29  0.63   3.85e-04   3.11e-04   3.38e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.022   92.4   0.90    305
1E0657_56              5356+3184+5361   1.56   1.63  6.53  0.00  0.00 11.87 10.50 13.57  0.26  0.10  0.42   3.70e-04   3.03e-04   3.30e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   91.7   0.94    288
1E0657_56              5356+3184+5361   1.63   1.71  6.53  0.00  0.00 15.62 13.44 18.49  0.23  0.02  0.43   3.90e-04   3.24e-04   3.56e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   90.9   0.93    302
1E0657_56              5356+3184+5361   1.71   1.80  6.53  0.00  0.00 12.35 10.88 14.27  0.24  0.06  0.41   3.81e-04   3.20e-04   3.50e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   89.5   1.16    302
1E0657_56              5356+3184+5361   1.80   1.90  6.53  0.00  0.00 14.27 12.22 17.00  0.20  0.00  0.39   3.75e-04   3.09e-04   3.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   87.5   0.94    292
1E0657_56              5356+3184+5361   1.90   2.02  6.53  0.00  0.00 10.93  9.68 12.53  0.20  0.05  0.36   3.86e-04   3.28e-04   3.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   85.5   1.05    305
1E0657_56              5356+3184+5361   2.02   2.15  6.53  0.00  0.00 12.98 11.38 15.22  0.54  0.33  0.75   3.61e-04   3.13e-04   3.47e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   82.7   1.02    310
1E0657_56              5356+3184+5361   2.15   2.30  6.53  0.00  0.00 11.46 10.10 13.28  0.29  0.10  0.46   3.63e-04   3.18e-04   3.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   79.6   1.01    305
1E0657_56              5356+3184+5361   2.30   2.47  6.53  0.00  0.00 12.41 10.73 14.66  0.16  0.00  0.34   3.84e-04   3.57e-04   3.91e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.021   76.4   0.97    321
1E0657_56              5356+3184+5361   2.47   2.67  6.53  0.00  0.00 13.02 11.19 15.42  0.21  0.00  0.41   3.66e-04   3.34e-04   3.67e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   72.0   1.01    323
1E0657_56              5356+3184+5361   2.67   2.89  6.53  0.00  0.00  9.82  8.69 11.22  0.55  0.36  0.75   3.38e-04   3.09e-04   3.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.020   66.4   0.93    327
1E0657_56              5356+3184+5361   2.89   3.17  6.53  0.00  0.00  9.73  8.55 11.33  0.46  0.27  0.66   3.26e-04   2.81e-04   3.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.019   61.0   1.15    331
1E0657_56              5356+3184+5361   3.17   3.49  6.53  0.00  0.00  9.12  7.96 10.65  0.42  0.22  0.62   3.26e-04   2.83e-04   3.14e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.018   53.9   0.94    362
1E0657_56              5356+3184+5361   3.49   3.87  6.53  0.00  0.00  9.90  8.44 11.94  0.16  0.00  0.37   3.16e-04   2.82e-04   3.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.017   46.4   1.16    364
1E0657_56              5356+3184+5361   3.87   4.32  6.53  0.00  0.00  8.86  7.47 10.78  0.23  0.00  0.47   2.84e-04   2.63e-04   2.99e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.015   36.9   1.03    394
